,Class,plate_length,plate_width,plate_depth,screw_length,screw_dia,screw_distance
0,1,100,10,3,20,1,10
1,1,100,10,3,20,1,20
2,1,100,10,3,20,3,10
3,1,100,10,3,20,3,20
4,1,100,10,3,20,5,10
5,1,100,10,3,20,5,20
6,1,100,10,3,20,7,10
7,1,100,10,3,20,7,20
8,1,100,10,3,40,1,10
9,1,100,10,3,40,1,20
10,1,100,10,3,40,3,10
11,1,100,10,3,40,3,20
12,2,100,10,3,40,5,10
13,1,100,10,3,40,5,20
14,2,100,10,3,40,7,10
15,1,100,10,3,40,7,20
16,2,100,10,3,60,1,10
17,1,100,10,3,60,1,20
18,2,100,10,3,60,3,10
19,1,100,10,3,60,3,20
20,2,100,10,3,60,5,10
21,1,100,10,3,60,5,20
22,2,100,10,3,60,7,10
23,1,100,10,3,60,7,20
24,1,100,10,5,20,1,10
25,1,100,10,5,20,1,20
26,1,100,10,5,20,3,10
27,1,100,10,5,20,3,20
28,1,100,10,5,20,5,10
29,1,100,10,5,20,5,20
30,1,100,10,5,20,7,10
31,1,100,10,5,20,7,20
32,1,100,10,5,40,1,10
33,1,100,10,5,40,1,20
34,1,100,10,5,40,3,10
35,1,100,10,5,40,3,20
36,2,100,10,5,40,5,10
37,1,100,10,5,40,5,20
38,2,100,10,5,40,7,10
39,1,100,10,5,40,7,20
40,2,100,10,5,60,1,10
41,1,100,10,5,60,1,20
42,2,100,10,5,60,3,10
43,1,100,10,5,60,3,20
44,2,100,10,5,60,5,10
45,1,100,10,5,60,5,20
46,2,100,10,5,60,7,10
47,1,100,10,5,60,7,20
48,1,100,20,3,20,1,10
49,1,100,20,3,20,1,20
50,2,100,20,3,20,3,10
51,1,100,20,3,20,3,20
52,2,100,20,3,20,5,10
53,1,100,20,3,20,5,20
54,2,100,20,3,20,7,10
55,1,100,20,3,20,7,20
56,2,100,20,3,40,1,10
57,1,100,20,3,40,1,20
58,2,100,20,3,40,3,10
59,1,100,20,3,40,3,20
60,2,100,20,3,40,5,10
61,2,100,20,3,40,5,20
62,2,100,20,3,40,7,10
63,2,100,20,3,40,7,20
64,2,100,20,3,60,1,10
65,2,100,20,3,60,1,20
66,2,100,20,3,60,3,10
67,2,100,20,3,60,3,20
68,2,100,20,3,60,5,10
69,2,100,20,3,60,5,20
70,2,100,20,3,60,7,10
71,2,100,20,3,60,7,20
72,1,100,20,5,20,1,10
73,1,100,20,5,20,1,20
74,2,100,20,5,20,3,10
75,1,100,20,5,20,3,20
76,2,100,20,5,20,5,10
77,1,100,20,5,20,5,20
78,2,100,20,5,20,7,10
79,1,100,20,5,20,7,20
80,2,100,20,5,40,1,10
81,1,100,20,5,40,1,20
82,2,100,20,5,40,3,10
83,2,100,20,5,40,3,20
84,2,100,20,5,40,5,10
85,2,100,20,5,40,5,20
86,2,100,20,5,40,7,10
87,2,100,20,5,40,7,20
88,2,100,20,5,60,1,10
89,2,100,20,5,60,1,20
